,Quarter,Tm,Detail,ATL,WAS
0,1.0,Falcons,Junior Coffey 4 yard rush (Lou Kirouac kick),7,0
1,1.0,Redskins,Charley Taylor 12 yard rush (Charlie Gogolak kick),7,7
2,2.0,Falcons,Lou Kirouac 47 yard field goal,10,7
3,2.0,Redskins,Jerry Smith 16 yard pass from Sonny Jurgensen,10,13
4,2.0,Falcons,Junior Coffey 3 yard rush (Lou Kirouac kick),17,13
5,2.0,Redskins,Charley Taylor 86 yard pass from Sonny Jurgensen (Charlie Gogolak kick),17,20
6,3.0,Redskins,Charlie Gogolak 10 yard field goal,17,23
7,3.0,Redskins,Charlie Gogolak 45 yard field goal,17,26
8,3.0,Falcons,Lou Kirouac 28 yard field goal,20,26
9,4.0,Redskins,Joe Don Looney 3 yard rush (Charlie Gogolak kick),20,33
