,Quarter,Tm,Detail,DAL,SEA
0,1.0,Seahawks,Don Testerman 9 yard pass from Jim Zorn (John Leypoldt kick),0,7
1,2.0,Seahawks,Steve Largent 4 yard pass from Jim Zorn,0,13
2,2.0,Cowboys,Drew Pearson 8 yard pass from Roger Staubach (Efren Herrera kick),7,13
3,2.0,Cowboys,Charley Young 25 yard pass from Roger Staubach (Efren Herrera kick),14,13
4,3.0,Cowboys,Robert Newhouse 24 yard rush (Efren Herrera kick),21,13
5,4.0,Cowboys,Doug Dennison 1 yard rush (Efren Herrera kick),28,13
