,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Benny Ricardo 19 yard field goal,0,3
1,1.0,Rams,Tom Dempsey 35 yard field goal,3,3
2,1.0,Lions,Joe Reed 4 yard rush (Benny Ricardo kick),3,10
3,2.0,Lions,Charlie Sanders 9 yard pass from Joe Reed (Benny Ricardo kick),3,17
4,3.0,Rams,Harold Jackson 27 yard pass from James Harris (Tom Dempsey kick),10,17
5,3.0,Rams,Tom Dempsey 32 yard field goal,13,17
6,3.0,Rams,Cullen Bryant 3 yard rush (Tom Dempsey kick),20,17
