,Quarter,Time,Tm,Detail,CHI,CAR
0,1.0,13:15,Bears,Matt Forte 18 yard rush (Robbie Gould kick),7,0
1,1.0,7:52,Panthers,John Kasay 24 yard field goal,7,3
2,1.0,7:35,Bears,Matt Forte 68 yard rush (Robbie Gould kick),14,3
3,1.0,4:37,Bears,Robbie Gould 28 yard field goal,17,3
4,3.0,2:15,Panthers,John Kasay 53 yard field goal,17,6
5,4.0,3:36,Bears,Robbie Gould 53 yard field goal,20,6
6,4.0,1:56,Bears,Robbie Gould 43 yard field goal,23,6
