,Quarter,Tm,Detail,KAN,SEA
0,2.0,Chiefs,J.J. Birden 33 yard pass from Steve DeBerg (Nick Lowery kick),7,0
1,2.0,Seahawks,Norm Johnson 39 yard field goal,7,3
2,3.0,Seahawks,Norm Johnson 27 yard field goal,7,6
3,4.0,Seahawks,Norm Johnson 39 yard field goal,7,9
4,4.0,Seahawks,Norm Johnson 43 yard field goal,7,12
5,4.0,Seahawks,John Williams 4 yard rush (Norm Johnson kick),7,19
