,Quarter,Tm,Detail,GNB,IND
0,1.0,Colts,Wayne Capers 20 yard rush (Raul Allegre kick),0,7
1,1.0,Colts,Randy McMillan 21 yard rush (Raul Allegre kick),0,14
2,1.0,Packers,Paul Coffman 8 yard pass from Lynn Dickey (Al Del Greco kick),7,14
3,2.0,Colts,Raul Allegre 24 yard field goal,7,17
4,2.0,Packers,Al Del Greco 29 yard field goal,10,17
5,2.0,Colts,Raul Allegre 26 yard field goal,10,20
6,3.0,Colts,Wayne Capers 39 yard pass from Mike Pagel (Raul Allegre kick),10,27
7,4.0,Colts,Raul Allegre 22 yard field goal,10,30
8,4.0,Colts,Wayne Capers 33 yard pass from Matt Kofler (Raul Allegre kick),10,37
