,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,,Jets,Hugh Douglas 62 yard defensive fumble return (Nick Lowery kick),0,7
1,1.0,,Jets,Adrian Murrell 1 yard rush (Nick Lowery kick),0,14
2,2.0,,Dolphins,O.J. McDuffie 1 yard pass from Dan Marino (Joe Nedney kick),7,14
3,3.0,15:00,Dolphins,Fred Barnett 33 yard pass from Dan Marino (Joe Nedney kick),14,14
4,3.0,15:00,Jets,Kyle Brady 11 yard pass from Glenn Foley (Nick Lowery kick),14,21
5,3.0,15:00,Dolphins,Karim Abdul-Jabbar 17 yard rush (Joe Nedney kick),21,21
6,3.0,15:00,Dolphins,Joe Nedney 38 yard field goal,24,21
7,4.0,15:00,Dolphins,Randal Hill 50 yard pass from Dan Marino (Joe Nedney kick),31,21
8,4.0,15:00,Jets,Wayne Chrebet 9 yard pass from Frank Reich (Nick Lowery kick),31,28
