,Quarter,Time,Tm,Detail,CIN,PIT
0,1,13:53,Steelers,Hines Ward 77 yard pass from Kent Graham (Kris Brown kick),0,7
1,2,0:04,Steelers,Kris Brown 36 yard field goal,0,10
2,3,2:19,Steelers,Kris Brown 28 yard field goal,0,13
3,4,6:32,Steelers,"Safety,",0,15
