,Quarter,Time,Tm,Detail,IND,HOU
0,1.0,14:00,Texans,Andre Johnson 62 yard pass from Case Keenum (Randy Bullock kick),0,7
1,1.0,4:13,Texans,Andre Johnson 41 yard pass from Case Keenum (Randy Bullock kick),0,14
2,2.0,3:30,Colts,Adam Vinatieri 30 yard field goal,3,14
3,2.0,0:34,Texans,Andre Johnson 5 yard pass from Case Keenum (Randy Bullock kick),3,21
4,3.0,11:54,Colts,Adam Vinatieri 35 yard field goal,6,21
5,3.0,4:25,Texans,Randy Bullock 43 yard field goal,6,24
6,3.0,0:05,Colts,T.Y. Hilton 10 yard pass from Andrew Luck (pass failed),12,24
7,4.0,9:46,Colts,T.Y. Hilton 58 yard pass from Andrew Luck (Adam Vinatieri kick),19,24
8,4.0,4:00,Colts,T.Y. Hilton 9 yard pass from Andrew Luck (Coby Fleener pass from Andrew Luck ),27,24
