,Quarter,Time,Tm,Detail,NOR,NYJ
0,1,,Saints,Doug Brien 32 yard field goal,3,0
1,3,,Saints,Doug Brien 23 yard field goal,6,0
2,4,,Saints,Wesley Walls 12 yard pass from Jim Everett (pass failed),12,0
