,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,,Chiefs,Pete Stoyanovich 35 yard field goal,0,3
1,1.0,,Chiefs,Pete Stoyanovich 31 yard field goal,0,6
2,2.0,,Chiefs,Pete Stoyanovich 33 yard field goal,0,9
3,2.0,,Chiefs,Andre Rison 44 yard pass from Rich Gannon (Pete Stoyanovich kick),0,16
4,3.0,,Chiefs,Tony Richardson 1 yard rush (Pete Stoyanovich kick),0,23
5,3.0,4:39,Chargers,Natrone Means 72 yard rush (John Carney kick),7,23
