,Quarter,Time,Tm,Detail,CIN,CLE
0,1.0,5:54,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),7,0
1,2.0,12:02,Bengals,Chris Henry 7 yard pass from Carson Palmer (Shayne Graham kick),14,0
2,2.0,0:39,Bengals,Shayne Graham 24 yard field goal,17,0
3,3.0,10:36,Bengals,T.J. Houshmandzadeh 6 yard pass from Carson Palmer (Shayne Graham kick failed),23,0
4,4.0,14:56,Bengals,Chris Henry 10 yard pass from Carson Palmer (Shayne Graham kick),30,0
