,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,6:07,Chiefs,Pete Stoyanovich 29 yard field goal,0,3
1,2.0,10:19,Seahawks,Ricky Watters 2 yard rush (Todd Peterson kick),7,3
2,2.0,5:03,Chiefs,Donnell Bennett 1 yard rush (Pete Stoyanovich kick),7,10
3,2.0,1:46,Seahawks,Ricky Watters 22 yard pass from Jon Kitna (Todd Peterson kick),14,10
4,2.0,0:02,Chiefs,Pete Stoyanovich 29 yard field goal,14,13
5,3.0,9:17,Seahawks,Todd Peterson 38 yard field goal,17,13
6,3.0,3:13,Seahawks,Sean Dawkins 45 yard pass from Jon Kitna (Todd Peterson kick),24,13
7,4.0,6:49,Chiefs,Donnell Bennett 4 yard rush (pass failed),24,19
8,4.0,2:43,Seahawks,Ricky Watters 5 yard rush (Todd Peterson kick),31,19
