,Quarter,Tm,Detail,NYJ,KAN
0,1.0,Jets,Rich Caster 14 yard pass from Joe Namath,6,0
1,2.0,Jets,Eddie Bell 7 yard pass from Joe Namath (Bobby Howfield kick),13,0
2,2.0,Chiefs,Ed Podolak 2 yard rush (Jan Stenerud kick),13,7
3,2.0,Jets,Bobby Howfield 25 yard field goal,16,7
4,2.0,Chiefs,Marvin Upshaw 52 yard interception return (Jan Stenerud kick),16,14
5,3.0,Chiefs,Jan Stenerud 27 yard field goal,16,17
6,4.0,Chiefs,Emmitt Thomas 38 yard interception return (Jan Stenerud kick),16,24
