,Quarter,Tm,Detail,GNB,CHI
0,1.0,Bears,Beattie Feathers 18 yard pass from Gene Ronzani (Jack Manders kick),0,7
1,2.0,Packers,Al Rose 9 yard pass from Bob Monnett (Bob Monnett kick),7,7
2,2.0,Bears,Jack Manders 18 yard field goal,7,10
3,3.0,Bears,Carl Brumbaugh 27 yard pass from Gene Ronzani (Jack Manders kick),7,17
4,4.0,Bears,Jack Manders 28 yard field goal,7,20
5,4.0,Packers,Lavvie Dilweg 13 yard pass from Arnie Herber (Clarke Hinkle kick),14,20
6,4.0,Bears,Beattie Feathers 46 yard rush (Bronko Nagurski kick),14,27
