,Quarter,Tm,Detail,NYJ,MIA
0,3,Dolphins,Woody Bennett 7 yard rush (Uwe von Schamann kick),0,7
1,4,Dolphins,A.J. Duhe 35 yard interception return (Uwe von Schamann kick),0,14
