,Quarter,Tm,Detail,OAK,DEN
0,2.0,Raiders,Pete Banaszak 4 yard pass from Daryle Lamonica (George Blanda kick),7,0
1,2.0,Broncos,Al Denson 4 yard pass from Steve Tensi (Bobby Howfield kick),7,7
2,2.0,Raiders,George Blanda 24 yard field goal,10,7
3,3.0,Raiders,Fred Biletnikoff 19 yard pass from Daryle Lamonica (George Blanda kick),17,7
4,4.0,Broncos,Floyd Little 4 yard rush (Bobby Howfield kick),17,14
5,4.0,Raiders,Billy Cannon 2 yard pass from Daryle Lamonica (George Blanda kick),24,14
