,Quarter,Tm,Detail,BKN,FRN
0,2,Dodgers,Jack McBride 6 yard rush (Jack McBride kick),7,0
1,3,Dodgers,Rex Thomas 40 yard pass from Wild Bill Kelly (Jack McBride kick),14,0
2,4,Yellow Jackets,Ed Halicki 20 yard pass from Jack Ernst (Ed Halicki kick),14,7
