,Quarter,Tm,Detail,HOU,SDG
0,1.0,Oilers,Drew Hill 9 yard pass from Warren Moon (Tony Zendejas kick),7,0
1,2.0,Chargers,Anthony Miller 27 yard pass from Billy Joe Tolliver (Fuad Reveiz kick),7,7
2,2.0,Oilers,Ernest Givins 22 yard pass from Warren Moon (Tony Zendejas kick),14,7
3,4.0,Oilers,Tony Zendejas 34 yard field goal,17,7
