,Quarter,Tm,Detail,AKR,CAN
0,2.0,Bulldogs,Pete Henry unknown yard field goal,0,3
1,3.0,Pros,James Robertson 55 yard pass from Fritz Pollard (Knute Caldwell kick),7,3
2,3.0,Pros,Fritz Pollard 1 yard rush (Knute Caldwell kick),14,3
3,4.0,Pros,Obie Newman 12 yard pass from Fritz Pollard,20,3
