,Quarter,Time,Tm,Detail,SFO,SEA
0,1.0,,49ers,Gary Anderson 33 yard field goal,3,0
1,1.0,,49ers,Gary Anderson 40 yard field goal,6,0
2,1.0,,Seahawks,Joey Galloway 37 yard pass from Warren Moon (Todd Peterson kick),6,7
3,2.0,,Seahawks,James McKnight 21 yard pass from Warren Moon (Todd Peterson kick),6,14
4,2.0,,Seahawks,Mike Pritchard 21 yard pass from Warren Moon (Todd Peterson kick),6,21
5,3.0,,49ers,Gary Anderson 23 yard field goal,9,21
6,3.0,,Seahawks,Joey Galloway 35 yard pass from Warren Moon (Todd Peterson kick),9,28
7,4.0,,Seahawks,Todd Peterson 39 yard field goal,9,31
8,4.0,,Seahawks,Jon Kitna 1 yard rush (Todd Peterson kick),9,38
