,Quarter,Time,Tm,Detail,DEN,SEA
0,1.0,,Broncos,Jason Elam 26 yard field goal,3,0
1,2.0,,Seahawks,John Kasay 37 yard field goal,3,3
2,2.0,,Broncos,John Elway 2 yard rush (Jason Elam kick),10,3
3,3.0,,Seahawks,John Kasay 36 yard field goal,10,6
4,3.0,,Broncos,Jason Elam 33 yard field goal,13,6
5,3.0,,Broncos,Jason Elam 37 yard field goal,16,6
6,4.0,,Seahawks,John Kasay 42 yard field goal,16,9
