,Quarter,Tm,Detail,BOS,BUF
0,1.0,Bills,Wayne Patrick 2 yard rush (Bruce Alford kick),0,7
1,1.0,Patriots,Carl Garrett 1 yard rush,6,7
2,2.0,Bills,Bruce Alford 24 yard field goal,6,10
3,3.0,Bills,Bruce Alford 22 yard field goal,6,13
4,3.0,Patriots,Charley Frazier 29 yard pass from Mike Taliaferro (Gino Cappelletti kick),13,13
5,4.0,Bills,Bruce Alford 22 yard field goal,13,16
6,4.0,Patriots,Gino Cappelletti 32 yard field goal,16,16
7,4.0,Bills,Haven Moses 45 yard pass from Preston Ridlehuber (Bruce Alford kick),16,23
