,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Freddie Solomon 32 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,49ers,Ray Wersching 31 yard field goal,0,10
2,2.0,49ers,Wendell Tyler 3 yard rush (Ray Wersching kick),0,17
3,2.0,Saints,Eugene Goodlow 8 yard pass from Ken Stabler (Morten Andersen kick),7,17
4,2.0,Saints,Morten Andersen 32 yard field goal,10,17
5,3.0,Saints,Hoby Brenner 26 yard pass from Ken Stabler (Morten Andersen kick),17,17
6,3.0,Saints,Morten Andersen 41 yard field goal,20,17
7,4.0,49ers,Earl Cooper 23 yard pass from Matt Cavanaugh (Ray Wersching kick),20,24
8,4.0,49ers,Ray Wersching 22 yard field goal,20,27
9,4.0,49ers,Ray Wersching 40 yard field goal,20,30
