,Quarter,Tm,Detail,CIN,DEN
0,1.0,Bengals,Ed Williams 1 yard rush (Dave Green kick),7,0
1,2.0,Broncos,Floyd Little 1 yard rush,7,6
2,2.0,Broncos,Riley Odoms 10 yard pass from Steve Ramsey (Jim Turner kick),7,13
3,3.0,Bengals,Dave Green 45 yard field goal,10,13
4,3.0,Bengals,Boobie Clark 1 yard rush (Dave Green kick),17,13
5,4.0,Broncos,Jim Turner 38 yard field goal,17,16
