,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Jim Breech 20 yard field goal,3,0
1,2.0,Browns,Webster Slaughter 22 yard pass from Bernie Kosar (Matt Bahr kick),3,7
2,2.0,Browns,Kevin Mack 22 yard rush (Matt Bahr kick),3,14
3,2.0,Browns,Kevin Mack 2 yard pass from Bernie Kosar (Matt Bahr kick),3,21
4,2.0,Browns,Derek Tennell 2 yard pass from Bernie Kosar (Matt Bahr kick),3,28
5,3.0,Bengals,Mike Martin 54 yard pass from Boomer Esiason (Jim Breech kick),10,28
6,3.0,Browns,Webster Slaughter 18 yard pass from Bernie Kosar (Matt Bahr kick),10,35
7,4.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),17,35
8,4.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),24,35
9,4.0,Browns,Matt Bahr 27 yard field goal,24,38
