,Quarter,Time,Tm,Detail,SDG,PHI
0,2.0,4:47,Eagles,Terrell Owens 4 yard pass from Donovan McNabb (Todd France kick),0,7
1,3.0,9:42,Eagles,Todd France 23 yard field goal,0,10
2,3.0,3:21,Chargers,Keenan McCardell 19 yard pass from Drew Brees (Nate Kaeding kick),7,10
3,4.0,13:48,Chargers,Antonio Gates 8 yard pass from Drew Brees (Nate Kaeding kick),14,10
4,4.0,9:21,Chargers,Nate Kaeding 34 yard field goal,17,10
5,4.0,6:24,Eagles,Todd France 40 yard field goal,17,13
6,4.0,2:25,Eagles,Matt Ware 65 yard blocked field goal return (Todd France kick),17,20
