,Quarter,Tm,Detail,CIN,BKN
0,1.0,Dodgers,Shipwreck Kelly 70 yard punt return (Benny Friedman kick),0,7
1,2.0,Dodgers,Tom Nash 34 yard pass from Benny Friedman (Benny Friedman kick),0,14
2,3.0,Dodgers,Shipwreck Kelly 45 yard pass from Benny Friedman (Benny Friedman kick),0,21
3,3.0,Dodgers,Shipwreck Kelly 9 yard pass from Benny Friedman,0,27
