,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Mark Jackson 44 yard pass from John Elway (Rich Karlis kick),0,7
1,1.0,Broncos,Rich Karlis 51 yard field goal,0,10
2,2.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),0,17
3,2.0,Chargers,Vince Abbott 20 yard field goal,3,17
4,2.0,Broncos,Tony Dorsett 21 yard rush (Rich Karlis kick),3,24
5,3.0,Broncos,Vance Johnson 24 yard pass from John Elway (Rich Karlis kick),3,31
6,4.0,Broncos,Rich Karlis 38 yard field goal,3,34
