,Quarter,Tm,Detail,KAN,SEA
0,1.0,Seahawks,Efren Herrera 38 yard field goal,0,3
1,2.0,Chiefs,Ted McKnight 23 yard rush (Jan Stenerud kick),7,3
2,2.0,Chiefs,Jan Stenerud 36 yard field goal,10,3
3,3.0,Seahawks,Efren Herrera 20 yard field goal,10,6
4,4.0,Chiefs,Mike Williams 3 yard pass from Steve Fuller (Jan Stenerud kick),17,6
5,4.0,Chiefs,Ted McKnight 84 yard rush (Jan Stenerud kick),24,6
