,Quarter,Tm,Detail,BKN,BOS
0,1.0,Redskins,Riley Smith 30 yard field goal,0,3
1,3.0,Redskins,Pug Rentner 3 yard rush (Riley Smith kick),0,10
2,3.0,Redskins,Cliff Battles 3 yard rush (Riley Smith kick),0,17
3,4.0,Dodgers,Jeff Barrett 3 yard pass from Phil Sarboe,6,17
4,4.0,Redskins,Pug Rentner 35 yard interception return (Riley Smith kick),6,24
5,4.0,Redskins,Sam Busich 3 yard pass from Ed Smith,6,30
