,Quarter,Tm,Detail,IND,MIA
0,1.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),0,7
1,2.0,Colts,Ricky Turner 1 yard rush (Dean Biasucci kick),7,7
2,2.0,Colts,Eric Dickerson 2 yard rush (Dean Biasucci kick),14,7
3,2.0,Colts,Clarence Verdin 19 yard pass from Chris Chandler (Dean Biasucci kick),21,7
4,3.0,Dolphins,Mark Clayton 27 yard pass from Dan Marino (Fuad Reveiz kick),21,14
5,3.0,Colts,Ricky Turner 1 yard rush (Dean Biasucci kick),28,14
6,4.0,Dolphins,Jim Jensen 1 yard pass from Dan Marino (Fuad Reveiz kick),28,21
7,4.0,Colts,Dean Biasucci 47 yard field goal,31,21
8,4.0,Dolphins,Mark Clayton 1 yard pass from Dan Marino (Fuad Reveiz kick),31,28
