,Quarter,Time,Tm,Detail,DET,SFO
0,1.0,,49ers,Garrison Hearst 5 yard rush (Wade Richey kick),0,7
1,2.0,,49ers,Terry Kirby 1 yard rush (Wade Richey kick),0,14
2,2.0,1:10,49ers,Terrell Owens 1 yard pass from Steve Young (Wade Richey kick),0,21
3,3.0,1:10,49ers,Steve Young 9 yard rush (Wade Richey kick),0,28
4,4.0,1:10,Lions,Herman Moore 24 yard pass from Frank Reich,6,28
5,4.0,1:10,49ers,Terry Kirby 31 yard rush (Wade Richey kick),6,35
6,4.0,1:06,Lions,David Sloan 3 yard pass from Frank Reich (Jason Hanson kick),13,35
