,Quarter,Tm,Detail,PIT,GNB
0,1.0,Packers,Clyde Goodnight 69 yard pass from Jack Jacobs (Ward Cuff kick),0,7
1,1.0,Packers,Ward Cuff 16 yard field goal,0,10
2,1.0,Steelers,Joe Glamp 23 yard field goal,3,10
3,2.0,Steelers,Val Jansante 37 yard pass from Johnny Clement,9,10
4,3.0,Steelers,Tony Compagno 55 yard interception return (Joe Glamp kick),16,10
5,4.0,Steelers,"Safety, Jacobs tackled in end zone by Calcagni",18,10
6,4.0,Packers,Nolan Luhn 27 yard pass from Jack Jacobs (Ward Cuff kick),18,17
