,Quarter,Tm,Detail,WAS,CHI
0,1.0,Bears,Walter Payton 50 yard rush (Bob Thomas kick),0,7
1,1.0,Bears,James Scott 40 yard pass from Vince Evans (Bob Thomas kick),0,14
2,1.0,Bears,Roland Harper 2 yard rush (Bob Thomas kick),0,21
3,2.0,Bears,Walter Payton 54 yard pass from Vince Evans (Bob Thomas kick),0,28
4,2.0,Bears,James Scott 12 yard pass from Vince Evans (Bob Thomas kick),0,35
5,3.0,Redskins,Rickey Claitt 3 yard pass from Joe Theismann (Mark Moseley kick),7,35
6,3.0,Redskins,Joe Theismann 7 yard rush (Mark Moseley kick),14,35
7,4.0,Redskins,Ricky Thompson 16 yard pass from Joe Theismann (Mark Moseley kick),21,35
