,Quarter,Tm,Detail,STL,CLE
0,1.0,Browns,Jim Brown 59 yard rush (Lou Groza kick),0,7
1,1.0,Cardinals,Jim Bakken 42 yard field goal,3,7
2,2.0,Cardinals,Sonny Randle 41 yard pass from Charley Johnson (Jim Bakken kick),10,7
3,2.0,Cardinals,Jim Bakken 9 yard field goal,13,7
4,4.0,Cardinals,Bill Triplett 19 yard pass from Charley Johnson (Jim Bakken kick),20,7
5,4.0,Browns,Ernie Green 15 yard pass from Jim Ninowski (Lou Groza kick),20,14
