,Quarter,Time,Tm,Detail,KAN,PHI
0,1.0,12:08,Chiefs,Ryan Succop 33 yard field goal,3,0
1,1.0,11:12,Chiefs,Eric Berry 38 yard interception return (Ryan Succop kick),10,0
2,1.0,5:06,Eagles,Jason Avant 22 yard pass from Michael Vick (run failed),10,6
3,2.0,8:21,Chiefs,Ryan Succop 31 yard field goal,13,6
4,2.0,2:26,Chiefs,Ryan Succop 34 yard field goal,16,6
5,3.0,6:29,Eagles,Alex Henery 29 yard field goal,16,9
6,4.0,12:57,Chiefs,Jamaal Charles 3 yard rush (Ryan Succop kick),23,9
7,4.0,11:36,Eagles,LeSean McCoy 41 yard rush (Alex Henery kick),23,16
8,4.0,3:21,Chiefs,Ryan Succop 38 yard field goal,26,16
