,Quarter,Time,Tm,Detail,ARI,CAR
0,1.0,6:56,Cardinals,Neil Rackers 21 yard field goal,3,0
1,2.0,11:16,Cardinals,Anquan Boldin 5 yard pass from Kurt Warner (Neil Rackers kick),10,0
2,2.0,5:42,Panthers,John Kasay 23 yard field goal,10,3
3,3.0,10:13,Cardinals,Tim Hightower 2 yard rush (Neil Rackers kick),17,3
4,3.0,6:54,Panthers,DeAngelo Williams 15 yard rush (John Kasay kick),17,10
5,3.0,6:10,Panthers,Steve Smith 18 yard pass from Jake Delhomme (John Kasay kick),17,17
6,3.0,0:58,Cardinals,Anquan Boldin 2 yard pass from Kurt Warner (Neil Rackers kick failed),23,17
7,3.0,0:02,Panthers,Steve Smith 65 yard pass from Jake Delhomme (John Kasay kick),23,24
8,4.0,9:09,Panthers,John Kasay 50 yard field goal,23,27
