,Quarter,Time,Tm,Detail,JAX,CLE
0,2.0,13:29,Jaguars,Damon Jones 3 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2.0,8:13,Jaguars,Mark Brunell 9 yard rush (Mike Hollis kick),14,0
2,2.0,2:09,Browns,Terry Kirby 1 yard rush (Phil Dawson kick),14,7
3,3.0,9:36,Jaguars,Mike Hollis 41 yard field goal,17,7
4,3.0,1:20,Browns,Darrin Chiaverini 10 yard pass from Ty Detmer (Phil Dawson kick),17,14
5,4.0,10:10,Jaguars,Fred Taylor 41 yard rush (Mike Hollis kick),24,14
