,Quarter,Tm,Detail,RAM,CHI
0,1.0,Rams,Vitamin Smith 56 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,0
1,1.0,Bears,George Blanda 41 yard field goal,7,3
2,1.0,Rams,Bob Waterfield 13 yard field goal,10,3
3,2.0,Rams,Elroy Hirsch 84 yard pass from Norm Van Brocklin (Bob Waterfield kick),17,3
4,2.0,Bears,Bill McColl 5 yard pass from George Blanda (George Blanda kick),17,10
5,3.0,Rams,Elroy Hirsch 20 yard pass from Norm Van Brocklin (Bob Waterfield kick),24,10
6,3.0,Rams,Jack Dwyer 12 yard fumble return (Bob Waterfield kick),31,10
7,3.0,Rams,"Safety, Macon tackle in end zone by Lane",33,10
8,4.0,Rams,Bob Carey 61 yard pass from Norm Van Brocklin (Bob Waterfield kick),40,10
9,4.0,Bears,Eddie Macon 50 yard rush (George Blanda kick),40,17
10,4.0,Bears,George Blanda 1 yard rush (George Blanda kick),40,24
