,Quarter,Tm,Detail,RAM,BKN
0,1.0,Rams,Johnny Drake 4 yard rush (Chet Adams kick),7,0
1,2.0,Rams,Vic Spadaccini 6 yard pass from Parker Hall (Chet Adams kick),14,0
2,2.0,Dodgers,Ace Parker 68 yard interception return,14,6
3,3.0,Dodgers,Pug Manders 38 yard pass from Ace Parker (Ace Parker kick),14,13
4,3.0,Dodgers,Ralph Kercheval 45 yard field goal,14,16
5,3.0,Dodgers,Dick Cassiano 22 yard pass from Ace Parker,14,22
6,4.0,Dodgers,Pug Manders 1 yard rush (Ace Parker kick),14,29
