,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Lou Groza 42 yard field goal,0,3
1,2.0,Redskins,Bill Dudley 17 yard field goal,3,3
2,2.0,Browns,Lou Groza 15 yard field goal,3,6
3,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),3,13
4,4.0,Browns,Otto Graham 2 yard rush (Lou Groza kick),3,20
5,4.0,Browns,Billy Reynolds 14 yard rush (Lou Groza kick),3,27
