,Quarter,Tm,Detail,WAS,PHI
0,1,Eagles,Wilbert Montgomery 4 yard rush (Tony Franklin kick),0,7
1,1,Eagles,Tony Franklin 44 yard field goal,0,10
2,2,Redskins,Art Monk 5 yard pass from Joe Theismann (Mark Moseley kick),7,10
3,2,Redskins,Charlie Brown 8 yard pass from Joe Theismann (Mark Moseley kick),14,10
4,2,Eagles,Tony Franklin 44 yard field goal,14,13
5,3,Eagles,Wilbert Montgomery 2 yard rush (Tony Franklin kick),14,20
6,3,Eagles,Wilbert Montgomery 42 yard pass from Ron Jaworski (Tony Franklin kick),14,27
7,4,Redskins,Charlie Brown 78 yard pass from Joe Theismann (Mark Moseley kick),21,27
8,4,Redskins,John Riggins 2 yard rush (Mark Moseley kick),28,27
9,4,Redskins,Mark Moseley 30 yard field goal,31,27
10,4,Eagles,Harold Carmichael 4 yard pass from Ron Jaworski (Tony Franklin kick),31,34
11,4,Redskins,Mark Moseley 48 yard field goal,34,34
12,OT,Redskins,Mark Moseley 26 yard field goal,37,34
