,Quarter,Time,Tm,Detail,BAL,KAN
0,1.0,4:28,Ravens,Mark Ingram 2 yard rush (run failed),6,0
1,2.0,14:21,Chiefs,LeSean McCoy 1 yard rush (Harrison Butker kick),6,7
2,2.0,7:58,Chiefs,Demarcus Robinson 18 yard pass from Patrick Mahomes (Harrison Butker kick),6,14
3,2.0,3:12,Chiefs,Mecole Hardman 83 yard pass from Patrick Mahomes (Harrison Butker kick failed),6,20
4,2.0,0:10,Chiefs,Harrison Butker 42 yard field goal,6,23
5,3.0,10:42,Ravens,Mark Ingram 19 yard rush (Justin Tucker kick),13,23
6,3.0,2:15,Chiefs,LeSean McCoy 14 yard pass from Patrick Mahomes (Harrison Butker kick),13,30
7,4.0,12:27,Ravens,Mark Ingram 1 yard rush (pass failed),19,30
8,4.0,6:43,Ravens,Justin Tucker 39 yard field goal,22,30
9,4.0,4:39,Chiefs,Harrison Butker 36 yard field goal,22,33
10,4.0,2:10,Ravens,Lamar Jackson 9 yard rush (run failed),28,33
