,Quarter,Tm,Detail,HOU,IND
0,1.0,Colts,Pat Beach 14 yard pass from Mike Pagel (Raul Allegre kick),0,7
1,2.0,Colts,Randy McMillan 16 yard rush,0,13
2,2.0,Oilers,Drew Hill 40 yard pass from Warren Moon,6,13
3,2.0,Colts,Pat Beach 20 yard pass from Mike Pagel (Raul Allegre kick),6,20
4,2.0,Oilers,Tony Zendejas 45 yard field goal,9,20
5,3.0,Colts,Albert Bentley 24 yard rush (Raul Allegre kick),9,27
6,4.0,Oilers,Drew Hill 14 yard pass from Warren Moon (Tony Zendejas kick),16,27
7,4.0,Colts,Oliver Williams 22 yard pass from Mike Pagel (Raul Allegre kick),16,34
