,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Don Hutson 11 yard pass from Cecil Isbell,6,0
1,2.0,Packers,Ted Fritsch 22 yard field goal,9,0
2,2.0,Packers,Don Hutson 15 yard pass from Cecil Isbell (Don Hutson kick),16,0
3,3.0,Rams,"Safety, Isbell tackled in end zone",16,2
4,3.0,Rams,Chet Adams 46 yard field goal,16,5
5,4.0,Rams,Ben Hightower 14 yard pass from Parker Hall (Chet Adams kick),16,12
6,4.0,Packers,Chuck Sample 10 yard pass from Cecil Isbell (Don Hutson kick),23,12
7,4.0,Packers,Don Hutson 1 yard pass from Tony Canadeo (Don Hutson kick),30,12
