,Quarter,Tm,Detail,IND,NYJ
0,1.0,Jets,Brad Baxter 4 yard rush (Pat Leahy kick),0,7
1,2.0,Jets,Chris Burkett 15 yard pass from Ken O'Brien (Pat Leahy kick),0,14
2,2.0,Colts,Jessie Hester 49 yard pass from Jeff George (Dean Biasucci kick),7,14
3,3.0,Colts,Clarence Verdin 88 yard kickoff return (Dean Biasucci kick),14,14
4,3.0,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),14,21
5,3.0,Colts,Jessie Hester 7 yard pass from Jeff George (Dean Biasucci kick),21,21
6,3.0,Colts,Bill Brooks 7 yard pass from Jeff George (Dean Biasucci kick),28,21
7,4.0,Jets,Pat Leahy 22 yard field goal,28,24
8,4.0,Jets,Pat Leahy 25 yard field goal,28,27
