,Quarter,Tm,Detail,DET,NOR
0,2.0,Lions,Jason Hanson 41 yard field goal,3,0
1,2.0,Saints,Hoby Brenner 17 yard pass from Wade Wilson (Morten Andersen kick),3,7
2,3.0,Saints,Eric Martin 12 yard pass from Wade Wilson (Morten Andersen kick),3,14
