,Quarter,Tm,Detail,WAS,CHI
0,1.0,Redskins,Pat Richter 16 yard pass from Sonny Jurgensen (Charlie Gogolak kick),7,0
1,1.0,Redskins,Gerry Allen 12 yard rush (Charlie Gogolak kick),14,0
2,1.0,Bears,Jack Concannon 7 yard rush (Mac Percival kick),14,7
3,2.0,Redskins,Gerry Allen 99 yard pass from Sonny Jurgensen (Charlie Gogolak kick),21,7
4,2.0,Bears,Brian Piccolo 12 yard rush (Mac Percival kick),21,14
5,2.0,Redskins,Pat Richter 6 yard pass from Sonny Jurgensen (Charlie Gogolak kick),28,14
6,2.0,Bears,Ronnie Bull 5 yard rush (Mac Percival kick),28,21
7,3.0,Redskins,Pat Richter 19 yard pass from Sonny Jurgensen (Charlie Gogolak kick),35,21
8,4.0,Bears,Ronnie Bull 8 yard rush (Mac Percival kick),35,28
9,4.0,Redskins,Charlie Gogolak 37 yard field goal,38,28
