,Quarter,Time,Tm,Detail,NOR,SEA
0,1.0,8:35,Seahawks,Ricky Watters 7 yard rush (Kris Heppner kick),0,7
1,1.0,0:57,Saints,Keith Poole 49 yard pass from Jeff Blake (Doug Brien kick),7,7
2,2.0,2:37,Saints,Doug Brien 23 yard field goal,10,7
3,3.0,8:01,Seahawks,Kris Heppner 31 yard field goal,10,10
4,4.0,9:23,Seahawks,Itula Mili 1 yard pass from Jon Kitna (Kris Heppner kick),10,17
5,4.0,3:47,Seahawks,Kris Heppner 45 yard field goal,10,20
