,Quarter,Time,Tm,Detail,DAL,CAR
0,1.0,1:30,Cowboys,Terrell Owens 10 yard pass from Tony Romo (Nick Folk kick),7,0
1,2.0,6:57,Cowboys,Marion Barber III 5 yard rush (Nick Folk kick),14,0
2,2.0,5:38,Panthers,Steve Smith 11 yard pass from Matt Moore (John Kasay kick),14,7
3,2.0,1:56,Cowboys,Nick Folk 42 yard field goal,17,7
4,3.0,8:00,Panthers,John Kasay 37 yard field goal,17,10
5,4.0,8:17,Cowboys,Nick Folk 23 yard field goal,20,10
6,4.0,3:01,Panthers,John Kasay 25 yard field goal,20,13
