,Quarter,Tm,Detail,PIT,SFO
0,1.0,49ers,John David Crow 49 yard pass from John Brodie (Tommy Davis kick),0,7
1,1.0,Steelers,Dick Hoak 1 yard rush (Mike Clark kick),7,7
2,2.0,49ers,Tommy Davis 37 yard field goal,7,10
3,2.0,49ers,Tommy Davis 27 yard field goal,7,13
4,3.0,Steelers,Mike Clark 32 yard field goal,10,13
5,3.0,49ers,Ken Willard 9 yard rush (Tommy Davis kick),10,20
6,3.0,Steelers,John Campbell 15 yard defensive fumble return (Mike Clark kick),17,20
7,4.0,49ers,John Brodie 4 yard rush (Tommy Davis kick),17,27
