,Quarter,Tm,Detail,BOS,PIT
0,1.0,Redskins,Cliff Battles 70 yard punt return (Jim Musick kick),7,0
1,3.0,Redskins,Jim Musick 1 yard rush (Jim Musick kick),14,0
2,4.0,Redskins,Walt Holmer 1 yard rush (Bennie LaPresta kick),21,0
3,4.0,Pirates,Angelo Brovelli 1 yard rush,21,6
