,Quarter,Time,Tm,Detail,HOU,PIT
0,1.0,,Steelers,Yancey Thigpen 33 yard pass from Neil O'Donnell (Norm Johnson kick),0,7
1,2.0,7:00,Oilers,Chris Sanders 76 yard pass from Chris Chandler (Al Del Greco kick),7,7
2,2.0,7:00,Steelers,Mark Bruener 7 yard pass from Neil O'Donnell (Norm Johnson kick),7,14
3,4.0,7:00,Steelers,Bam Morris 30 yard rush (Norm Johnson kick),7,21
