,Quarter,Tm,Detail,PHO,MIA
0,1.0,Dolphins,Pete Stoyanovich 19 yard field goal,0,3
1,2.0,Dolphins,Tony Paige 17 yard pass from Dan Marino (Pete Stoyanovich kick),0,10
2,2.0,Dolphins,Pete Stoyanovich 21 yard field goal,0,13
3,2.0,Cardinals,Al Del Greco 44 yard field goal,3,13
4,3.0,Dolphins,Mark Clayton 7 yard pass from Dan Marino (Pete Stoyanovich kick),3,20
5,3.0,Dolphins,Pete Stoyanovich 19 yard field goal,3,23
