,Quarter,Tm,Detail,NOR,MIN
0,1.0,Vikings,Oscar Reed 1 yard rush (Fred Cox kick),0,7
1,2.0,Vikings,Fred Cox 29 yard field goal,0,10
2,2.0,Vikings,John Beasley 9 yard pass from Fran Tarkenton (Fred Cox kick),0,17
3,2.0,Vikings,Fred Cox 32 yard field goal,0,20
4,3.0,Saints,Charlie Durkee 14 yard field goal,3,20
5,3.0,Vikings,Bill Brown 3 yard pass from Fran Tarkenton (Fred Cox kick),3,27
6,4.0,Saints,Charlie Durkee 36 yard field goal,6,27
7,4.0,Vikings,Fred Cox 45 yard field goal,6,30
8,4.0,Vikings,John Gilliam 2 yard pass from Bob Lee (Fred Cox kick),6,37
