,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Matt Bahr 22 yard field goal,3,0
1,2.0,Eagles,Vaughn Hebron 1 yard rush (Matt Bahr kick),10,0
2,4.0,Redskins,Tim McGee 17 yard pass from Rich Gannon (Chip Lohmiller kick),10,7
3,4.0,Redskins,Art Monk 6 yard pass from Rich Gannon (Chip Lohmiller kick),10,14
4,4.0,Eagles,James Joseph 2 yard pass from Bubby Brister (Matt Bahr kick),17,14
