,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,0:25,Lions,James Stewart 3 yard rush (Jason Hanson kick),7,0
1,2.0,11:47,Bears,Paul Edinger 46 yard field goal,7,3
2,3.0,6:14,Lions,Jason Hanson 36 yard field goal,10,3
3,4.0,14:01,Bears,Paul Edinger 26 yard field goal,10,6
4,4.0,5:34,Bears,Leon Johnson 1 yard rush (Paul Edinger kick),10,13
