,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Lin Elliott 23 yard field goal,3,0
1,2.0,Cowboys,Jay Novacek 5 yard pass from Troy Aikman (Lin Elliott kick),10,0
2,2.0,Redskins,Terry Orr 41 yard pass from Earnest Byner (Chip Lohmiller kick),10,7
3,2.0,Cowboys,Jay Novacek 5 yard pass from Troy Aikman (Lin Elliott kick),17,7
4,3.0,Redskins,Chip Lohmiller 32 yard field goal,17,10
5,4.0,Redskins,Chip Lohmiller 22 yard field goal,17,13
6,4.0,Redskins,Danny Copeland defensive fumble recovery in end zone (Chip Lohmiller kick),17,20
