,Quarter,Tm,Detail,SFO,OAK
0,1.0,Raiders,Jim Breech 18 yard field goal,0,3
1,1.0,Raiders,Cliff Branch 9 yard pass from Ken Stabler,0,9
2,2.0,49ers,Ray Wersching 39 yard field goal,3,9
3,2.0,49ers,Phil Francis 5 yard rush (Ray Wersching kick),10,9
4,2.0,Raiders,Mark van Eeghen 1 yard rush (Jim Breech kick),10,16
5,3.0,Raiders,Cliff Branch 8 yard pass from Ken Stabler (Jim Breech kick),10,23
