,Quarter,Time,Tm,Detail,STL,TEN
0,1.0,8:28,Titans,Lorenzo Neal 1 yard pass from Steve McNair (Al Del Greco kick),0,7
1,1.0,2:41,Titans,Eddie George 17 yard pass from Steve McNair (Al Del Greco kick),0,14
2,1.0,1:24,Titans,Steve McNair 10 yard rush (Al Del Greco kick),0,21
3,3.0,14:33,Rams,Marshall Faulk 57 yard pass from Kurt Warner (Jeff Wilkins kick),7,21
4,3.0,7:55,Rams,Isaac Bruce 3 yard pass from Kurt Warner (Jeff Wilkins kick),14,21
5,3.0,4:18,Titans,Al Del Greco 27 yard field goal,14,24
6,4.0,2:14,Rams,Amp Lee 15 yard pass from Kurt Warner (Jeff Wilkins kick),21,24
