,Quarter,Time,Tm,Detail,SEA,RAI
0,1.0,,Seahawks,Chris Warren 4 yard rush (John Kasay kick),7,0
1,1.0,,Raiders,Jeff Jaeger 26 yard field goal,7,3
2,2.0,,Seahawks,John Kasay 33 yard field goal,10,3
3,3.0,,Seahawks,Brian Blades 5 yard pass from Rick Mirer (John Kasay kick),17,3
4,3.0,,Seahawks,Michael Bates 40 yard pass from Rick Mirer (John Kasay kick),24,3
5,4.0,,Seahawks,Chris Warren 38 yard pass from Rick Mirer (John Kasay kick),31,3
6,4.0,,Raiders,Terry McDaniel 41 yard fumble return (pass failed),31,9
7,4.0,,Seahawks,Tracy Johnson 2 yard rush (John Kasay kick),38,9
