,Quarter,Time,Tm,Detail,PIT,CIN
0,1,6:22,Steelers,Plaxico Burress 42 yard pass from Kordell Stewart (Kris Brown kick),7,0
1,1,2:43,Steelers,Plaxico Burress 28 yard pass from Kordell Stewart (Kris Brown kick),14,0
2,2,4:41,Bengals,Brian Simmons 56 yard fumble return (Neil Rackers kick),14,7
3,2,1:00,Steelers,Kris Brown 38 yard field goal,17,7
4,2,0:00,Bengals,Neil Rackers 34 yard field goal,17,10
5,3,3:41,Steelers,Chris Fuamatu-Ma'afala 37 yard pass from Kordell Stewart (Kris Brown kick failed),23,10
6,4,2:46,Bengals,Ron Dugans 6 yard pass from Jon Kitna (Neil Rackers kick),23,17
7,4,0:37,Bengals,Danny Farmer 18 yard pass from Jon Kitna (Neil Rackers kick failed),23,23
8,OT,4:08,Bengals,Neil Rackers 31 yard field goal,23,26
