,Quarter,Tm,Detail,GNB,SFO
0,2.0,49ers,Vic Washington 1 yard rush (Bruce Gossett kick),0,7
1,2.0,Packers,Chester Marcol 35 yard field goal,3,7
2,2.0,49ers,Bruce Gossett 25 yard field goal,3,10
3,4.0,Packers,Chester Marcol 15 yard field goal,6,10
4,4.0,49ers,Ted Kwalick 20 yard pass from Steve Spurrier (Bruce Gossett kick),6,17
5,4.0,49ers,Bruce Gossett 22 yard field goal,6,20
